width	height	browser	version	platform	UA	date	time	worker_id	part_id	study	trial	set_size	presentation	pres_count_full	resp_err_totl	speed_err_tottl	difficulty	math_ques	math_ans	given_resp	math_acc	math_user_resp	RT	ltr_seq	ltr_resp	ltr_acc
375	667	Apple Safari	10.0	mac	Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1	02.24.17	12:50:15pm	NO_WORKER_ID	1W2I9J7Y5D8X4T6N	AOSPAN	1	7	0	1	0	1	1	(8/4)+5	7	7	0	SLOW	3.57666666667	RKSYHLT		
375	667	Apple Safari	10.0	mac	Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1	02.24.17	12:50:20pm	NO_WORKER_ID	1W2I9J7Y5D8X4T6N	AOSPAN	2	7	1	2	0	2	1	(6/6)+3	4	4	0	SLOW	3.57666666667	RKSYHLT		
375	667	Apple Safari	10.0	mac	Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1	02.24.17	12:50:26pm	NO_WORKER_ID	1W2I9J7Y5D8X4T6N	AOSPAN	3	7	2	3	0	3	1	(1*5)+1	6	3	0	SLOW	3.57666666667	RKSYHLT		
375	667	Apple Safari	10.0	mac	Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1	02.24.17	12:50:32pm	NO_WORKER_ID	1W2I9J7Y5D8X4T6N	AOSPAN	4	7	3	4	0	4	2	(6*2)+2	14	8	0	SLOW	3.57666666667	RKSYHLT		
375	667	Apple Safari	10.0	mac	Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1	02.24.17	12:50:38pm	NO_WORKER_ID	1W2I9J7Y5D8X4T6N	AOSPAN	5	7	4	5	0	5	1	(3/3)+2	3	7	0	SLOW	3.57666666667	RKSYHLT		
375	667	Apple Safari	10.0	mac	Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1	02.24.17	12:50:43pm	NO_WORKER_ID	1W2I9J7Y5D8X4T6N	AOSPAN	6	7	5	6	0	5	1	(7/1)-1	6	1	1	False	1.488	RKSYHLT		
375	667	Apple Safari	10.0	mac	Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1	02.24.17	12:51:00pm	NO_WORKER_ID	1W2I9J7Y5D8X4T6N	AOSPAN	7	7	6	7	0	5	2	(8/1)+6	14	14	1	True	1.219	RKSYHLT	RKSYT	4
375	667	Apple Safari	10.0	mac	Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1	02.24.17	12:51:10pm	NO_WORKER_ID	1W2I9J7Y5D8X4T6N	AOSPAN	8	4	0	8	0	6	2	(5*2)+4	14	14	1	True	3.754	QLTY		
375	667	Apple Safari	10.0	mac	Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1	02.24.17	12:51:16pm	NO_WORKER_ID	1W2I9J7Y5D8X4T6N	AOSPAN	9	4	1	9	0	7	1	(3*4)-7	5	5	0	SLOW	3.57666666667	QLTY		
375	667	Apple Safari	10.0	mac	Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1	02.24.17	12:51:21pm	NO_WORKER_ID	1W2I9J7Y5D8X4T6N	AOSPAN	10	4	2	10	0	7	2	(1*6)+5	11	11	1	True	1.594	QLTY		
375	667	Apple Safari	10.0	mac	Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1	02.24.17	12:51:32pm	NO_WORKER_ID	1W2I9J7Y5D8X4T6N	AOSPAN	11	4	3	11	0	7	1	(2/2)+2	3	2	1	False	1.666	QLTY	QLTY	4
