width	height	browser	version	platform	UA	date	time	worker_id	part_id	study	trial	set_size	presentation	pres_count_full	resp_err_totl	speed_err_tottl	difficulty	math_ques	math_ans	given_resp	math_acc	math_user_resp	RT	ltr_seq	ltr_resp	ltr_acc
1366	768	Google Chrome	56.0.2924.87	mac	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36	02.24.17	01:53:09am	NO_WORKER_ID	5L4F2Q1Z3W8H6T0U	AOSPAN	1	5	0	1	0	0	1	(1*2)+1	3	3	1	True	1.956	FPQNH		
1366	768	Google Chrome	56.0.2924.87	mac	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36	02.24.17	01:53:14am	NO_WORKER_ID	5L4F2Q1Z3W8H6T0U	AOSPAN	2	5	1	2	0	0	2	(2*3)+8	14	12	1	False	2.123	FPQNH		
1366	768	Google Chrome	56.0.2924.87	mac	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36	02.24.17	01:53:20am	NO_WORKER_ID	5L4F2Q1Z3W8H6T0U	AOSPAN	3	5	2	3	0	0	1	(8/2)+4	8	8	1	True	2.831	FPQNH		
1366	768	Google Chrome	56.0.2924.87	mac	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36	02.24.17	01:53:26am	NO_WORKER_ID	5L4F2Q1Z3W8H6T0U	AOSPAN	4	5	3	4	0	0	1	(2/2)+5	6	3	1	False	2.931	FPQNH		
1366	768	Google Chrome	56.0.2924.87	mac	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36	02.24.17	01:53:41am	NO_WORKER_ID	5L4F2Q1Z3W8H6T0U	AOSPAN	5	5	4	5	0	0	1	(9/9)+3	4	6	1	False	3.415	FPQNH	FPQNH	5
1366	768	Google Chrome	56.0.2924.87	mac	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36	02.24.17	01:53:49am	NO_WORKER_ID	5L4F2Q1Z3W8H6T0U	AOSPAN	6	5	0	6	1	0	3	(8*2)+7	23	23	0	False	2.644	LJFYH		
1366	768	Google Chrome	56.0.2924.87	mac	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36	02.24.17	01:53:55am	NO_WORKER_ID	5L4F2Q1Z3W8H6T0U	AOSPAN	7	5	1	7	1	0	1	(9/3)+5	8	7	1	False	2.897	LJFYH		
1366	768	Google Chrome	56.0.2924.87	mac	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36	02.24.17	01:54:02am	NO_WORKER_ID	5L4F2Q1Z3W8H6T0U	AOSPAN	8	5	2	8	1	0	1	(1*3)+7	10	11	1	False	2.517	LJFYH		
1366	768	Google Chrome	56.0.2924.87	mac	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36	02.24.17	01:54:08am	NO_WORKER_ID	5L4F2Q1Z3W8H6T0U	AOSPAN	9	5	3	9	1	0	2	(5*3)+3	18	27	1	False	3.093	LJFYH		
1366	768	Google Chrome	56.0.2924.87	mac	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36	02.24.17	01:54:21am	NO_WORKER_ID	5L4F2Q1Z3W8H6T0U	AOSPAN	10	5	4	10	1	0	1	(2/2)+3	4	4	1	True	1.784	LJFYH	LJFYH	5
1366	768	Google Chrome	56.0.2924.87	mac	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36	02.24.17	01:54:29am	NO_WORKER_ID	5L4F2Q1Z3W8H6T0U	AOSPAN	11	3	0	11	1	0	1	(3*3)-2	7	13	1	False	2.572	NPT		
1366	768	Google Chrome	56.0.2924.87	mac	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36	02.24.17	01:54:36am	NO_WORKER_ID	5L4F2Q1Z3W8H6T0U	AOSPAN	12	3	1	12	1	0	1	(7/7)+6	7	16	1	False	3.053	NPT		
1366	768	Google Chrome	56.0.2924.87	mac	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36	02.24.17	01:54:46am	NO_WORKER_ID	5L4F2Q1Z3W8H6T0U	AOSPAN	13	3	2	13	1	1	2	(4/1)+7	11	9	0	SLOW	3.73686666667	NPT	NPT	3
1366	768	Google Chrome	56.0.2924.87	mac	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36	02.24.17	01:54:53am	NO_WORKER_ID	5L4F2Q1Z3W8H6T0U	AOSPAN	14	7	0	14	1	1	2	(1*6)+6	12	12	1	True	1.922	TFNQSKP		
1366	768	Google Chrome	56.0.2924.87	mac	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36	02.24.17	01:54:58am	NO_WORKER_ID	5L4F2Q1Z3W8H6T0U	AOSPAN	15	7	1	15	1	1	1	(1*8)-2	6	3	1	False	1.916	TFNQSKP		
1366	768	Google Chrome	56.0.2924.87	mac	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36	02.24.17	01:55:04am	NO_WORKER_ID	5L4F2Q1Z3W8H6T0U	AOSPAN	16	7	2	16	1	1	2	(4*3)+4	16	19	1	False	2.089	TFNQSKP		
1366	768	Google Chrome	56.0.2924.87	mac	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36	02.24.17	01:55:08am	NO_WORKER_ID	5L4F2Q1Z3W8H6T0U	AOSPAN	17	7	3	17	1	1	1	(5/5)+1	2	2	1	True	2.016	TFNQSKP		
1366	768	Google Chrome	56.0.2924.87	mac	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36	02.24.17	01:55:14am	NO_WORKER_ID	5L4F2Q1Z3W8H6T0U	AOSPAN	18	7	4	18	1	1	1	(3*5)-5	10	8	1	False	2.044	TFNQSKP		
1366	768	Google Chrome	56.0.2924.87	mac	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36	02.24.17	01:55:19am	NO_WORKER_ID	5L4F2Q1Z3W8H6T0U	AOSPAN	19	7	5	19	1	1	1	(3/3)+4	5	5	1	True	1.874	TFNQSKP		
1366	768	Google Chrome	56.0.2924.87	mac	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36	02.24.17	01:55:35am	NO_WORKER_ID	5L4F2Q1Z3W8H6T0U	AOSPAN	20	7	6	20	1	1	1	(2*2)-3	1	3	1	False	2.441	TFNQSKP	TFNQSKP	7
1366	768	Google Chrome	56.0.2924.87	mac	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36	02.24.17	01:55:43am	NO_WORKER_ID	5L4F2Q1Z3W8H6T0U	AOSPAN	21	4	0	21	1	1	2	(9/1)+4	13	11	1	False	3.072	QNPR		
1366	768	Google Chrome	56.0.2924.87	mac	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36	02.24.17	01:55:50am	NO_WORKER_ID	5L4F2Q1Z3W8H6T0U	AOSPAN	22	4	1	22	1	1	1	(8/1)-3	5	10	1	False	3.048	QNPR		
1366	768	Google Chrome	56.0.2924.87	mac	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36	02.24.17	01:55:55am	NO_WORKER_ID	5L4F2Q1Z3W8H6T0U	AOSPAN	23	4	2	23	1	1	1	(2*5)-1	9	14	1	False	2.043	QNPR		
1366	768	Google Chrome	56.0.2924.87	mac	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36	02.24.17	01:56:06am	NO_WORKER_ID	5L4F2Q1Z3W8H6T0U	AOSPAN	24	4	3	24	1	1	1	(3/1)+6	9	9	1	True	2.062	QNPR	QNPR	4
1366	768	Google Chrome	56.0.2924.87	mac	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36	02.24.17	01:56:13am	NO_WORKER_ID	5L4F2Q1Z3W8H6T0U	AOSPAN	25	6	0	25	1	1	2	(1*6)+5	11	13	1	False	1.749	SJTFLH		
1366	768	Google Chrome	56.0.2924.87	mac	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36	02.24.17	01:56:18am	NO_WORKER_ID	5L4F2Q1Z3W8H6T0U	AOSPAN	26	6	1	26	1	1	2	(2*4)+4	12	20	1	False	2.254	SJTFLH		
1366	768	Google Chrome	56.0.2924.87	mac	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36	02.24.17	01:56:23am	NO_WORKER_ID	5L4F2Q1Z3W8H6T0U	AOSPAN	27	6	2	27	1	1	1	(4/2)+8	10	9	1	False	1.789	SJTFLH		
1366	768	Google Chrome	56.0.2924.87	mac	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36	02.24.17	01:56:27am	NO_WORKER_ID	5L4F2Q1Z3W8H6T0U	AOSPAN	28	6	3	28	1	1	1	(5*2)-1	9	17	1	False	1.42	SJTFLH		
1366	768	Google Chrome	56.0.2924.87	mac	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36	02.24.17	01:56:34am	NO_WORKER_ID	5L4F2Q1Z3W8H6T0U	AOSPAN	29	6	4	29	1	1	1	(6/6)+6	7	3	1	False	3.467	SJTFLH		
1366	768	Google Chrome	56.0.2924.87	mac	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36	02.24.17	01:56:48am	NO_WORKER_ID	5L4F2Q1Z3W8H6T0U	AOSPAN	30	6	5	30	1	1	1	(9/9)+6	7	7	1	True	2.453	SJTFLH	SJTFLH	6
1366	768	Google Chrome	56.0.2924.87	mac	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36	02.24.17	01:56:56am	NO_WORKER_ID	5L4F2Q1Z3W8H6T0U	AOSPAN	31	3	0	31	1	1	2	(3*4)+3	15	6	1	False	2.803	TPF		
1366	768	Google Chrome	56.0.2924.87	mac	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36	02.24.17	01:57:00am	NO_WORKER_ID	5L4F2Q1Z3W8H6T0U	AOSPAN	32	3	1	32	1	1	1	(9/3)+3	6	2	1	False	1.237	TPF		
